2021-10-20 14:46:20 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:20 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:21 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:21 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:21 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:21 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:22 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:22 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:22 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:22 INFO     正在从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:46:22 INFO     无法从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:46:22 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:22 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:22 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:23 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:23 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:25 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:25 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:26 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:26 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:27 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:27 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:29 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:29 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:29 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:29 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:31 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:31 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:31 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:31 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:46:31 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:46:31 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:31 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:31 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:32 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:32 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:32 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:32 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:33 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:33 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:34 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:34 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:35 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:35 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:35 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:35 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:35 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:35 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:37 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:37 INFO     正在从kuwo下载 ——> kuwo_Shape&nbsp;Of&nbsp;You&nbsp;(FTampa&nbsp;Remix)...
2021-10-20 14:46:38 INFO     成功从kuwo下载到了 ——> kuwo_Shape&nbsp;Of&nbsp;You&nbsp;(FTampa&nbsp;Remix)...
2021-10-20 14:46:38 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:40 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:40 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:41 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:41 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:43 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:43 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:43 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:43 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:43 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:43 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:43 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:43 INFO     正在从kuwo下载 ——> kuwo_Galway&nbsp;Girl...
2021-10-20 14:46:44 INFO     成功从kuwo下载到了 ——> kuwo_Galway&nbsp;Girl...
2021-10-20 14:46:44 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:46 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:46 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:47 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:47 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:48 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:48 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:49 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:49 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:49 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:46:49 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:51 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:51 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:52 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:46:52 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:53 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:53 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:55 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:55 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:56 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:56 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:57 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:46:57 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:57 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:46:57 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:58 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:46:58 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:46:58 INFO     无法从kugou下载 ——> kugou_Shape of You...
